Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
1484,,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0,1.09,1,80.9161,0,10.631667,30.87925587972005,1,Out
1491,,Cc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0,0.73,1,59.81167,0,30.202,30.247890625,1,In
1504,,O=C1C[C@H](Sc2ccccc2)C2(OCCO2)[C@H]2ON3CCC[C@@H]3[C@@H]12,0,10.72,1,88.56848,1,50.126335,49.80494140625,2,In
1511,,CCOC(=O)[C@H]1Nc2ccccc2[C@H]2OCC[C@@H]12,0,15.99,1,81.35184,1,66.778336,54.70672424316407,2,In
1513,,COC(=O)c1ccc(CN2CCc3c([nH]c4ccccc34)C2CO)o1,0,1.15,1,75.27345,0,34.97066,37.131370035807294,1,In
1520,,CCOc1ccc(NC(=O)CC2SC(Nc3ccc(C)cc3C)=NC2=O)cc1,0,31.19,1,63.453728,0,11.721666,35.45513071695964,1,In
1533,,C=C(C)C#CC(O)(C(=O)OC1CCN(C)CC1)c1ccccc1,0,8.93,1,93.59077,1,61.575996,54.698921101888025,2,In
1544,,Cc1cccc2c1Sc1ccccc1C2NC(=O)CN(C)C,0,44.39,1,93.59077,0,42.245674,60.07548034667968,1,In
1546,,CC(C)(C)OC(=O)N1CCC2(CC1)C(=O)NCN2c1ccccc1,1,78.46,1,93.08308,1,61.273,77.60535970052082,3,In
1562,,CC(C)N(C(=O)C12C3C4C5C3C1(C(=O)N(C(C)C)C(C)C)C5C42)C(C)C,0,13.23,1,77.8956,0,9.995333,33.70697672526042,1,Out
1569,,COC(=O)CCCc1ccc2c(c1)CC1(C2)Cc2cc3c(cc2C1)CCCC3,0,2.06,1,81.8687,0,41.937996,41.955564676920574,1,In
1573,,c1ccc(C2=NN(c3nc4ccccc4s3)C3(CCCCC3)N2)nc1,0,1.55,0,25.014782,0,17.187666,14.584148661295572,0,In
1582,,COC(=O)c1ccc(C)cc1CC1Cc2cccc(C)c2C1=O,0,5.26,1,92.73448,0,21.708668,39.90104858398438,1,In
1590,,O=C(O)C1(Cc2ccc3c(c2)CCC3)Cc2cc3c(cc2C1)CCC3,0,4.22,1,81.8687,0,10.015333,32.034677734375,1,In
1631,,O=C(O)CCN1CCN(c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)CC1,0,2.29,0,32.94716,0,37.72467,24.32060974121094,0,In
1664,,CC(C)c1cc(C=O)c([C@@]2(C)CCCC(C)(C)[C@@H]2C=O)cc1O,0,3.54,1,50.092525,0,6.688332,20.106952362060547,1,In
1684,,CC1C(C(C)(C)O)CCC1(C)/C=C/c1ccc(O)cc1,0,1.8,0,5.129839,0,30.440002,12.456613159179687,0,In
1697,,CC1(C)CC(=O)C[C@]2(C)[C@@H](CO)[C@](C)(O)CC[C@@H]12,0,8.69,1,83.93485,1,55.436665,49.35384033203125,2,Out
1713,,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@](C)(O)[C@H]2O,1,83.63,1,86.513504,0,20.802,63.6485019938151,2,In
1716,,O[C@H]1CC[C@H](Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1,0,8.72,0,26.898544,0,18.526333,18.04829238891601,0,In
1723,,N#C[C@@H]1N2CCC[C@H]3[C@@H]4CCCCN4[C@@H]4CC[C@H]5CCC[C@]1(O)[C@@H]5N4[C@@H]32,1,59.28,1,89.28439,1,54.055336,67.5399072265625,3,Out
1734,4.93,CC(C)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,0,4.37,1,80.569115,1,67.768326,50.90247762044271,2,In
